Item_ID,Category,Region,Date,Stock_Level,Demand,Supply,Is_Scarce,Potentially_Scarce,Conversion_Rate,Experience_Score,Dispute_Amount,Win_Amount,Recouped_Amount,Tag_Status,Net_Loss,Spike_Indicator
ITEM00016,Home Appliances,Central,2023-08-22,236,456,812,No,Yes,0.43,8,265.99,338.04,111.55,Resolved,-183.60000000000002,No
ITEM00017,Toys,East,2023-01-26,292,256,887,No,No,0.62,5,867.79,127.17,30.57,Escalated,710.05,Yes
ITEM00018,Electronics,East,2023-02-11,203,441,931,No,Yes,0.57,4,296.68,401.48,77.7,Resolved,-182.5,No
ITEM00019,Home Appliances,South,2023-03-02,210,993,57,No,Yes,0.37,7,340.6,470.18,35.41,Flagged,-164.98999999999998,No
ITEM00020,Apparel,East,2023-02-10,225,301,86,No,No,0.21,6,717.66,280.48,265.73,Escalated,171.44999999999993,No
ITEM00021,Toys,Central,2023-05-10,6,878,647,No,Yes,0.28,2,747.76,35.73,71.74,Reviewed,640.29,No
ITEM00022,Home Appliances,North,2023-12-21,219,134,121,No,Yes,0.15,9,52.6,355.91,225.2,Flagged,-528.51,No
ITEM00023,Electronics,North,2023-12-20,310,866,430,No,Yes,0.71,3,150.17,463.73,21.4,Flagged,-334.96000000000004,No
ITEM00024,Electronics,North,2023-07-17,27,634,315,No,No,0.53,1,249.71,472.12,232.51,Escalated,-454.91999999999996,No
ITEM00025,Groceries,Central,2023-10-14,476,555,116,No,Yes,0.73,3,999.87,455.39,25.52,Flagged,518.96,No
ITEM00026,Groceries,North,2023-05-31,292,264,702,No,No,0.33,1,822.44,281.7,284.31,Flagged,256.43,No
ITEM00027,Apparel,South,2023-07-23,211,127,856,No,No,0.74,10,715.05,459.04,192.19,Escalated,63.819999999999936,No
ITEM00028,Home Appliances,Central,2023-07-01,188,471,113,No,No,0.35,7,963.44,134.01,202.9,Flagged,626.5300000000001,No
ITEM00029,Home Appliances,Central,2023-07-26,74,962,79,Yes,Yes,0.2,6,687.19,71.93,204.29,Resolved,410.97,No
ITEM00030,Groceries,Central,2023-05-27,241,413,949,No,No,0.53,8,691.64,238.3,82.42,Flagged,370.91999999999996,No
ITEM00031,Home Appliances,East,2023-07-23,113,664,606,No,No,0.86,4,898.18,15.44,132.89,Resolved,749.8499999999999,Yes
ITEM00032,Home Appliances,East,2023-02-17,166,383,695,No,No,0.43,6,301.96,38.63,271.6,Reviewed,-8.270000000000039,No
ITEM00033,Electronics,East,2023-09-15,105,397,65,No,No,0.51,3,1.76,300.69,62.07,Reviewed,-361.0,No
ITEM00034,Groceries,West,2023-05-19,150,574,327,No,Yes,0.46,4,714.95,352.01,158.3,Resolved,204.64000000000004,No
ITEM00035,Toys,South,2023-06-21,435,696,780,No,No,0.47,6,156.11,69.35,96.88,Escalated,-10.119999999999976,No
ITEM00036,Groceries,Central,2023-04-11,365,448,326,No,Yes,0.27,5,287.24,170.67,229.08,Resolved,-112.50999999999999,No
ITEM00037,Toys,Central,2023-07-06,83,735,270,Yes,Yes,0.44,2,822.5,403.9,136.87,Resolved,281.73,No
ITEM00038,Electronics,East,2023-11-11,211,544,242,No,Yes,0.5,9,777.92,100.48,102.82,Flagged,574.6199999999999,No
ITEM00039,Apparel,Central,2023-10-21,266,306,719,No,No,0.7,2,474.77,445.29,177.9,Escalated,-148.42000000000004,No
ITEM00040,Home Appliances,Central,2023-12-29,321,516,73,No,No,0.21,8,104.34,280.79,31.81,Flagged,-208.26000000000002,No
ITEM00041,Electronics,North,2023-01-21,268,538,881,No,No,0.56,5,298.31,296.67,167.99,Flagged,-166.35000000000002,No
ITEM00042,Home Appliances,Central,2023-10-25,460,264,190,No,No,0.63,7,475.53,75.02,235.05,Flagged,165.45999999999998,No
ITEM00043,Apparel,West,2023-01-10,424,658,783,No,No,0.41,6,768.18,30.82,288.89,Flagged,448.4699999999999,No
ITEM00044,Apparel,East,2023-07-06,176,519,75,No,Yes,0.54,2,984.71,181.37,253.56,Escalated,549.78,No
ITEM00045,Electronics,South,2023-05-13,270,470,147,No,No,0.67,4,625.58,47.41,184.9,Flagged,393.2700000000001,No
ITEM00046,Apparel,South,2023-02-02,311,767,325,No,No,0.47,9,53.36,49.89,162.19,Flagged,-158.72,No
ITEM00047,Toys,North,2023-03-10,181,365,622,No,No,0.37,7,221.13,474.46,98.6,Flagged,-351.92999999999995,No
ITEM00048,Apparel,South,2023-03-21,158,378,941,No,Yes,0.76,1,259.54,34.0,143.37,Resolved,82.17000000000002,No
ITEM00049,Home Appliances,South,2023-07-10,188,581,292,No,Yes,0.89,4,634.44,219.7,185.55,Resolved,229.19000000000005,No
ITEM00050,Home Appliances,East,2023-04-11,185,616,951,No,No,0.27,10,18.43,378.02,38.94,Resolved,-398.53,No
ITEM00051,Home Appliances,East,2023-10-12,470,181,988,No,No,0.81,3,506.56,142.3,217.0,Resolved,147.26,No
ITEM00052,Home Appliances,West,2023-08-09,443,218,482,Yes,No,0.54,1,995.72,248.91,73.5,Flagged,673.3100000000001,No
ITEM00053,Toys,North,2023-02-22,308,873,58,No,Yes,0.46,5,768.68,180.01,34.6,Resolved,554.0699999999999,No
ITEM00054,Groceries,South,2023-06-09,469,736,945,No,No,0.81,9,769.37,356.68,29.4,Reviewed,383.29,No
ITEM00055,Electronics,West,2023-02-11,245,402,918,No,Yes,0.83,4,745.38,304.9,95.9,Escalated,344.58000000000004,No
ITEM00056,Home Appliances,North,2023-02-16,316,314,982,Yes,No,0.32,2,683.4,154.44,96.12,Flagged,432.84000000000003,No
ITEM00057,Apparel,South,2023-06-08,463,127,321,No,No,0.39,7,298.37,315.83,171.7,Flagged,-189.15999999999997,No
ITEM00058,Home Appliances,South,2023-07-03,383,880,821,Yes,No,0.78,8,782.91,1.54,137.41,Flagged,643.96,No
ITEM00059,Apparel,East,2023-09-03,41,597,81,No,No,0.49,2,645.89,335.51,224.98,Escalated,85.4,No
ITEM00060,Apparel,Central,2023-01-11,284,636,901,No,No,0.33,10,228.9,390.86,5.75,Escalated,-167.71,No
ITEM00061,Home Appliances,North,2023-06-03,467,618,654,Yes,No,0.87,9,979.0,3.44,27.27,Reviewed,948.29,Yes
ITEM00062,Toys,South,2023-08-08,475,293,528,Yes,Yes,0.27,10,984.52,330.33,74.38,Resolved,579.8100000000001,No
ITEM00063,Apparel,North,2023-06-04,410,691,177,No,No,0.59,8,373.91,274.88,11.69,Reviewed,87.34000000000003,No
ITEM00064,Apparel,West,2023-12-05,299,541,798,No,Yes,0.44,4,753.18,141.44,49.18,Flagged,562.5600000000001,No
ITEM00065,Home Appliances,West,2023-12-31,476,933,66,No,No,0.46,4,681.37,98.99,218.2,Flagged,364.18,No
ITEM00066,Apparel,Central,2023-10-10,388,135,602,No,No,0.18,5,583.91,478.72,239.49,Resolved,-134.30000000000007,No
ITEM00067,Apparel,South,2023-07-06,435,357,522,No,Yes,0.31,1,180.85,240.8,177.77,Resolved,-237.72000000000003,No
ITEM00068,Home Appliances,East,2023-03-03,368,212,350,No,No,0.23,7,467.85,228.97,171.28,Resolved,67.60000000000002,No
ITEM00069,Home Appliances,South,2023-05-28,361,393,833,No,No,0.7,4,729.93,423.3,188.06,Flagged,118.56999999999994,No
ITEM00070,Electronics,North,2023-05-24,485,813,837,No,No,0.66,1,988.34,191.36,240.37,Flagged,556.61,No
ITEM00071,Toys,West,2023-04-13,436,113,91,Yes,Yes,0.74,4,613.62,402.85,252.84,Flagged,-42.07000000000002,No
ITEM00072,Toys,North,2023-10-27,435,766,827,No,No,0.66,4,752.19,283.77,101.71,Resolved,366.7100000000001,No
ITEM00073,Apparel,Central,2023-04-03,293,696,101,Yes,Yes,0.2,1,913.89,105.39,124.92,Flagged,683.58,No
ITEM00074,Toys,West,2023-10-13,427,239,237,No,Yes,0.88,9,613.78,175.38,242.61,Flagged,195.78999999999996,No
ITEM00075,Apparel,East,2023-04-29,180,470,993,No,Yes,0.25,8,764.52,11.5,63.2,Resolved,689.8199999999999,No
ITEM00076,Electronics,West,2023-01-29,370,526,200,Yes,Yes,0.38,9,458.06,219.96,282.81,Reviewed,-44.71000000000001,No
ITEM00077,Home Appliances,South,2023-01-30,385,196,293,No,No,0.67,7,291.89,468.32,251.47,Resolved,-427.9,No
ITEM00078,Home Appliances,South,2023-12-26,364,796,850,No,No,0.21,5,493.04,315.98,132.26,Flagged,44.80000000000001,No
ITEM00079,Home Appliances,West,2023-10-15,181,587,540,Yes,No,0.24,7,88.96,288.96,154.12,Reviewed,-354.12,No
ITEM00080,Toys,Central,2023-05-18,339,441,176,No,No,0.8,2,930.0,434.83,131.24,Resolved,363.93,No
ITEM00081,Electronics,South,2023-02-20,490,969,766,No,No,0.37,10,310.43,61.1,68.71,Resolved,180.62,No
ITEM00082,Toys,South,2023-10-19,494,591,458,Yes,Yes,0.63,7,461.03,398.21,71.99,Escalated,-9.170000000000002,No
ITEM00083,Toys,East,2023-08-22,460,599,867,Yes,No,0.79,4,653.38,348.79,90.83,Flagged,213.76,No
ITEM00084,Electronics,West,2023-02-24,217,531,918,Yes,No,0.88,5,504.49,264.73,122.48,Flagged,117.27999999999999,No
ITEM00085,Electronics,South,2023-10-19,162,288,661,No,Yes,0.27,7,282.78,192.57,268.13,Escalated,-177.92000000000002,No
ITEM00086,Electronics,Central,2023-08-28,45,181,393,Yes,No,0.2,2,984.29,17.73,107.57,Escalated,858.99,Yes
ITEM00087,Electronics,North,2023-11-08,455,911,640,Yes,No,0.69,5,848.29,309.01,168.75,Escalated,370.53,No
ITEM00088,Home Appliances,West,2023-02-05,91,279,744,No,Yes,0.25,2,102.79,284.65,26.55,Escalated,-208.40999999999997,No
ITEM00089,Groceries,East,2023-03-30,104,997,147,Yes,Yes,0.56,10,367.39,142.36,115.3,Escalated,109.72999999999998,No
ITEM00090,Groceries,South,2023-07-31,206,960,117,No,No,0.53,6,194.29,137.28,128.32,Reviewed,-71.31,No
ITEM00091,Electronics,Central,2023-11-14,438,514,895,Yes,No,0.55,10,478.67,178.81,150.85,Escalated,149.01000000000002,No
ITEM00092,Groceries,West,2023-12-31,497,204,949,Yes,Yes,0.62,8,208.8,216.7,138.55,Resolved,-146.45,No
ITEM00093,Groceries,Central,2023-09-02,327,480,77,No,No,0.78,7,312.27,369.05,198.26,Escalated,-255.04000000000002,No
ITEM00094,Electronics,Central,2023-03-28,138,821,78,Yes,No,0.32,5,520.9,256.16,255.02,Flagged,9.719999999999942,No
ITEM00095,Groceries,East,2023-08-28,28,428,899,Yes,Yes,0.54,3,144.08,75.12,189.57,Resolved,-120.60999999999999,No
ITEM00096,Toys,West,2023-11-16,250,348,683,No,No,0.37,4,860.94,445.7,116.21,Resolved,299.0300000000001,No
ITEM00097,Apparel,South,2023-07-07,452,171,261,Yes,No,0.35,2,362.65,239.61,231.83,Resolved,-108.79000000000005,No
ITEM00098,Apparel,East,2023-02-26,190,772,737,No,Yes,0.12,6,914.3,448.64,205.34,Reviewed,260.31999999999994,No
ITEM00099,Electronics,South,2023-04-23,46,232,666,Yes,No,0.58,8,30.09,306.5,207.14,Reviewed,-483.55,No
ITEM00100,Home Appliances,North,2023-08-11,366,339,529,No,Yes,0.88,8,771.7,284.58,236.05,Escalated,251.07000000000005,No
ITEM00101,Electronics,Central,2023-03-11,250,177,121,Yes,Yes,0.71,9,864.95,167.1,33.27,Resolved,664.58,No
ITEM00102,Home Appliances,North,2023-08-15,262,669,540,No,Yes,0.29,5,984.57,485.63,108.53,Reviewed,390.4100000000001,No
ITEM00103,Apparel,Central,2023-09-13,372,560,159,No,No,0.67,10,131.87,491.64,50.46,Resolved,-410.22999999999996,No
ITEM00104,Electronics,East,2023-06-29,63,224,162,No,No,0.34,6,433.75,181.42,231.76,Flagged,20.57000000000002,No
ITEM00105,Toys,South,2023-07-03,337,110,446,No,No,0.7,2,760.31,394.78,170.01,Resolved,195.51999999999998,No
ITEM00106,Groceries,South,2023-07-10,319,567,281,No,No,0.78,10,513.56,134.97,296.85,Escalated,81.7399999999999,No
ITEM00107,Home Appliances,East,2023-08-20,347,506,92,No,Yes,0.37,4,820.79,306.9,203.59,Flagged,310.29999999999995,No
ITEM00108,Groceries,West,2023-10-03,267,126,314,No,No,0.1,3,983.9,335.43,22.93,Resolved,625.5400000000001,No
ITEM00109,Groceries,North,2023-08-21,11,306,857,No,Yes,0.34,9,756.65,492.2,86.43,Escalated,178.01999999999998,No
ITEM00110,Electronics,North,2023-02-23,291,321,95,No,No,0.26,6,742.19,144.11,277.62,Escalated,320.46000000000004,No
ITEM00111,Groceries,South,2023-09-14,28,411,619,No,No,0.59,6,567.9,352.97,294.41,Reviewed,-79.48000000000008,No
ITEM00112,Toys,South,2023-03-31,138,481,274,No,Yes,0.33,4,463.16,122.74,67.02,Flagged,273.40000000000003,No
ITEM00113,Groceries,South,2023-08-14,436,861,701,Yes,No,0.13,6,835.02,18.06,148.21,Reviewed,668.75,No
ITEM00114,Electronics,East,2023-09-04,453,414,150,No,No,0.53,1,232.88,142.51,111.0,Reviewed,-20.629999999999995,No
ITEM00115,Toys,West,2023-05-31,84,307,330,No,Yes,0.8,9,861.45,393.21,62.9,Escalated,405.3400000000001,No
ITEM00116,Apparel,North,2023-04-23,73,720,287,Yes,No,0.46,3,837.35,468.46,110.44,Resolved,258.45000000000005,No
ITEM00117,Groceries,Central,2023-09-26,250,395,650,No,No,0.4,5,737.19,13.06,128.46,Resolved,595.6700000000001,No
ITEM00118,Electronics,East,2023-06-06,223,501,295,No,No,0.24,7,695.88,56.03,200.04,Flagged,439.81000000000006,No
ITEM00119,Apparel,North,2023-12-13,46,534,961,No,Yes,0.41,2,8.08,184.91,150.78,Flagged,-327.61,No
ITEM00120,Apparel,West,2023-12-17,416,672,740,Yes,No,0.36,4,990.42,226.26,249.01,Flagged,515.15,No
ITEM00121,Home Appliances,East,2023-10-26,80,221,941,Yes,No,0.9,6,391.91,464.07,282.69,Reviewed,-354.84999999999997,No
ITEM00122,Toys,North,2023-06-08,450,850,792,Yes,No,0.12,1,379.82,10.42,114.8,Resolved,254.59999999999997,No
ITEM00123,Groceries,East,2023-11-26,120,205,148,Yes,No,0.29,6,988.37,424.5,150.34,Flagged,413.53,No
ITEM00124,Electronics,North,2023-08-13,42,890,776,No,Yes,0.15,5,241.89,257.23,218.17,Resolved,-233.51000000000002,No
ITEM00125,Home Appliances,North,2023-01-14,145,135,249,No,Yes,0.79,2,953.13,107.37,247.86,Resolved,597.9,No
ITEM00126,Toys,West,2023-12-21,73,649,305,No,No,0.43,6,385.19,98.06,66.16,Flagged,220.97,No
ITEM00127,Home Appliances,Central,2023-04-19,52,171,486,Yes,Yes,0.74,5,98.19,24.99,197.39,Escalated,-124.18999999999998,No
ITEM00128,Toys,West,2023-04-06,232,667,543,Yes,No,0.65,1,523.07,123.08,245.74,Flagged,154.25000000000006,No
ITEM00129,Toys,North,2023-07-14,294,266,485,No,Yes,0.84,6,706.23,487.29,222.05,Resolved,-3.1100000000000136,No
ITEM00130,Groceries,East,2023-02-27,362,320,756,No,Yes,0.12,7,609.05,398.98,209.37,Resolved,0.6999999999999318,No
ITEM00131,Toys,West,2023-12-18,199,175,941,No,Yes,0.27,9,952.17,481.2,283.25,Flagged,187.71999999999997,No
ITEM00132,Home Appliances,Central,2023-10-21,161,821,73,No,No,0.66,2,383.72,77.62,223.69,Escalated,82.41000000000003,No
ITEM00133,Toys,North,2023-06-03,36,310,412,No,No,0.57,6,442.0,274.58,146.74,Resolved,20.680000000000007,No
ITEM00134,Groceries,West,2023-03-05,424,327,319,Yes,No,0.66,6,245.93,466.06,260.81,Resolved,-480.94,No
ITEM00135,Groceries,West,2023-06-07,96,836,839,No,Yes,0.56,1,577.84,330.07,131.09,Escalated,116.68000000000004,No
ITEM00136,Home Appliances,West,2023-09-22,48,552,787,Yes,Yes,0.56,8,939.65,10.01,239.12,Flagged,690.52,No
ITEM00137,Apparel,West,2023-05-01,383,865,277,No,No,0.85,5,345.61,34.84,187.42,Escalated,123.35,No
ITEM00138,Apparel,East,2023-10-15,9,586,177,No,No,0.84,2,114.96,210.93,181.67,Resolved,-277.64,No
ITEM00139,Toys,Central,2023-01-11,39,767,592,No,Yes,0.13,5,366.12,192.17,221.62,Flagged,-47.66999999999999,No
ITEM00140,Electronics,Central,2023-08-02,401,573,902,Yes,Yes,0.43,4,883.2,444.85,209.83,Reviewed,228.52,No
ITEM00141,Toys,North,2023-06-11,152,974,812,No,Yes,0.51,7,900.17,390.13,160.12,Reviewed,349.91999999999996,No
ITEM00142,Home Appliances,South,2023-04-15,105,760,107,Yes,No,0.39,10,121.96,66.08,265.64,Escalated,-209.76,No
ITEM00143,Home Appliances,East,2023-05-27,40,929,374,Yes,No,0.14,8,764.53,44.75,216.51,Escalated,503.27,No
ITEM00144,Home Appliances,North,2023-07-01,163,890,708,No,No,0.48,1,141.64,433.46,174.18,Escalated,-466.0,No
ITEM00145,Home Appliances,North,2023-12-04,257,589,155,No,Yes,0.88,1,884.42,224.88,211.16,Escalated,448.38,No
ITEM00146,Home Appliances,West,2023-02-06,210,475,486,No,No,0.16,8,475.2,84.65,103.16,Flagged,287.39,No
ITEM00147,Groceries,South,2023-03-23,201,330,134,No,Yes,0.75,4,898.77,449.29,299.85,Flagged,149.62999999999994,No
ITEM00148,Apparel,South,2023-01-12,432,801,51,Yes,Yes,0.26,8,74.5,360.18,140.79,Resolved,-426.47,No
ITEM00149,Home Appliances,East,2023-01-04,194,324,486,Yes,No,0.56,7,76.4,81.97,142.48,Resolved,-148.04999999999998,No
ITEM00150,Electronics,South,2023-02-12,52,574,500,Yes,No,0.41,9,935.33,303.14,117.26,Resolved,514.9300000000001,No
ITEM00151,Electronics,North,2023-02-20,146,676,864,No,Yes,0.38,7,772.34,234.64,96.45,Resolved,441.25000000000006,No
ITEM00152,Electronics,South,2023-09-18,498,719,932,No,No,0.8,4,145.54,128.13,289.0,Flagged,-271.59000000000003,No
ITEM00153,Electronics,South,2023-05-14,281,179,614,No,No,0.88,5,890.49,295.54,290.95,Escalated,304.00000000000006,No
ITEM00154,Groceries,Central,2023-03-28,309,744,490,No,Yes,0.41,7,853.79,220.1,284.38,Resolved,349.30999999999995,No
ITEM00155,Electronics,North,2023-12-28,242,785,271,No,No,0.61,2,537.78,280.83,96.83,Reviewed,160.12,No
ITEM00156,Home Appliances,South,2023-02-25,50,675,74,No,No,0.55,3,165.06,146.52,185.75,Flagged,-167.21,No
ITEM00157,Toys,South,2023-08-05,494,309,84,Yes,No,0.16,3,422.44,362.61,55.34,Reviewed,4.489999999999981,No
ITEM00158,Electronics,West,2023-03-09,408,396,718,No,No,0.13,9,550.26,213.32,216.47,Flagged,120.47,No
ITEM00159,Groceries,South,2023-12-18,113,709,392,No,No,0.72,2,209.56,406.56,81.71,Flagged,-278.71,No
ITEM00160,Groceries,South,2023-02-13,272,271,415,No,Yes,0.42,4,858.46,304.05,205.86,Escalated,348.55000000000007,No
ITEM00161,Electronics,Central,2023-05-23,457,188,706,Yes,No,0.35,8,833.55,121.73,214.97,Escalated,496.8499999999999,No
ITEM00162,Toys,North,2023-12-12,119,973,385,Yes,No,0.89,1,23.31,170.4,298.99,Resolved,-446.08000000000004,No
ITEM00163,Electronics,East,2023-02-11,188,325,482,No,No,0.17,9,19.65,143.32,235.81,Resolved,-359.48,No
ITEM00164,Groceries,North,2023-05-19,45,242,506,Yes,Yes,0.32,6,436.84,179.65,173.22,Reviewed,83.96999999999994,No
ITEM00165,Apparel,West,2023-03-14,242,807,948,No,No,0.79,4,924.21,85.75,147.19,Reviewed,691.27,No
ITEM00166,Home Appliances,North,2023-09-24,310,790,839,Yes,No,0.43,5,768.12,237.8,16.93,Resolved,513.39,No
ITEM00167,Groceries,South,2023-07-13,49,153,528,No,No,0.57,7,958.47,24.55,283.54,Resolved,650.3800000000001,No
ITEM00168,Electronics,West,2023-06-04,330,295,447,No,No,0.14,8,283.96,173.98,54.93,Escalated,55.04999999999999,No
ITEM00169,Home Appliances,North,2023-09-03,10,828,948,No,No,0.84,5,968.16,213.45,12.33,Resolved,742.38,Yes
ITEM00170,Electronics,West,2023-11-10,395,588,855,No,Yes,0.21,7,531.51,382.01,104.89,Escalated,44.61,No
ITEM00171,Electronics,East,2023-08-06,423,944,392,No,No,0.27,3,611.01,431.22,68.92,Resolved,110.86999999999996,No
ITEM00172,Apparel,North,2023-09-10,47,397,838,No,Yes,0.23,2,228.9,386.47,145.47,Reviewed,-303.04,No
ITEM00173,Home Appliances,South,2023-10-04,376,529,740,No,No,0.5,2,461.38,40.97,277.26,Escalated,143.14999999999998,No
ITEM00174,Home Appliances,West,2023-10-04,55,636,329,Yes,No,0.75,10,756.23,330.94,286.87,Flagged,138.42000000000002,No
ITEM00175,Apparel,Central,2023-03-13,7,678,401,Yes,No,0.31,3,351.1,426.17,85.8,Resolved,-160.87,No
ITEM00176,Groceries,West,2023-05-09,471,774,862,Yes,No,0.21,6,69.67,264.45,272.85,Flagged,-467.63,No
ITEM00177,Electronics,Central,2023-12-24,13,599,246,Yes,Yes,0.43,10,837.75,467.75,270.32,Escalated,99.68,No
ITEM00178,Toys,South,2023-07-05,214,723,274,No,No,0.89,1,33.39,441.82,131.6,Escalated,-540.03,No
ITEM00179,Electronics,East,2023-01-13,369,940,989,No,No,0.11,3,96.29,439.06,162.67,Reviewed,-505.43999999999994,No
ITEM00180,Electronics,Central,2023-11-25,439,305,96,No,No,0.5,3,637.1,482.03,14.73,Resolved,140.34000000000006,No
ITEM00181,Groceries,East,2023-08-08,244,979,234,Yes,Yes,0.64,2,668.5,382.68,6.24,Escalated,279.58,No
ITEM00182,Electronics,West,2023-01-06,53,236,964,No,No,0.75,1,549.84,342.95,46.23,Escalated,160.66000000000005,No
ITEM00183,Apparel,South,2023-08-27,483,507,211,No,No,0.7,1,77.76,376.39,156.96,Resolved,-455.59000000000003,No
ITEM00184,Apparel,Central,2023-04-22,272,378,692,No,Yes,0.16,1,776.85,178.98,141.47,Resolved,456.4,No
ITEM00185,Home Appliances,West,2023-08-16,428,544,344,No,No,0.47,8,598.21,4.17,3.79,Flagged,590.2500000000001,No
ITEM00186,Toys,North,2023-01-17,388,776,141,No,No,0.16,6,670.47,21.97,33.41,Escalated,615.09,No
ITEM00187,Electronics,West,2023-03-14,130,370,636,No,Yes,0.6,9,2.9,426.34,125.82,Escalated,-549.26,No
ITEM00188,Electronics,East,2023-01-12,8,540,699,No,No,0.16,3,87.9,205.01,242.08,Flagged,-359.19,No
ITEM00189,Groceries,South,2023-03-27,211,327,217,No,Yes,0.14,7,720.93,181.21,162.34,Escalated,377.3799999999999,No
ITEM00190,Apparel,South,2023-06-29,121,226,307,No,No,0.34,6,677.77,306.36,206.35,Reviewed,165.05999999999997,No
ITEM00191,Toys,West,2023-05-02,113,369,799,Yes,No,0.85,9,198.35,69.99,136.5,Escalated,-8.139999999999986,No
ITEM00192,Home Appliances,North,2023-07-23,19,919,606,No,No,0.67,9,504.87,271.97,113.83,Reviewed,119.06999999999998,No
ITEM00193,Apparel,East,2023-03-11,498,859,972,No,Yes,0.1,9,312.41,417.84,272.62,Flagged,-378.04999999999995,No
ITEM00194,Home Appliances,West,2023-04-18,338,951,358,Yes,Yes,0.33,7,624.9,212.72,248.78,Flagged,163.39999999999995,No
ITEM00195,Groceries,West,2023-07-20,20,586,698,Yes,No,0.11,9,797.49,258.99,59.81,Resolved,478.69,No
ITEM00196,Groceries,South,2023-02-21,207,647,664,No,No,0.34,7,188.03,82.24,244.31,Resolved,-138.51999999999998,No
ITEM00197,Electronics,East,2023-02-06,32,254,178,No,No,0.65,9,649.31,368.46,75.56,Flagged,205.28999999999996,No
ITEM00198,Toys,North,2023-04-27,132,756,722,No,Yes,0.71,2,434.39,280.97,11.73,Resolved,141.68999999999997,No
ITEM00199,Home Appliances,South,2023-09-16,407,871,599,Yes,No,0.74,2,192.75,275.94,236.2,Escalated,-319.39,No
ITEM00200,Apparel,West,2023-09-21,190,998,618,No,Yes,0.83,7,396.53,112.81,46.08,Flagged,237.64,No
ITEM00201,Groceries,South,2023-10-30,462,118,210,No,No,0.39,10,104.23,458.65,84.81,Escalated,-439.22999999999996,No
ITEM00202,Electronics,South,2023-03-05,25,524,225,No,Yes,0.79,6,657.66,172.21,229.99,Reviewed,255.45999999999992,No
ITEM00203,Electronics,Central,2023-02-11,363,157,820,No,No,0.68,6,998.2,480.6,145.52,Escalated,372.08000000000004,No
ITEM00204,Home Appliances,South,2023-02-12,88,522,337,No,Yes,0.53,5,733.27,170.85,207.68,Resolved,354.73999999999995,No
ITEM00205,Groceries,South,2023-05-05,91,874,454,Yes,No,0.86,1,851.99,450.16,8.8,Escalated,393.03,No
ITEM00206,Toys,East,2023-09-27,32,647,885,Yes,Yes,0.86,7,225.77,279.26,100.72,Escalated,-154.20999999999998,No
ITEM00207,Groceries,South,2023-12-13,237,822,706,Yes,No,0.82,2,106.19,32.04,106.48,Flagged,-32.33,No
ITEM00208,Home Appliances,North,2023-08-21,17,943,987,No,No,0.26,8,2.15,477.16,73.41,Escalated,-548.4200000000001,No
ITEM00209,Home Appliances,West,2023-05-12,273,759,629,No,Yes,0.27,10,729.59,166.29,112.58,Escalated,450.7200000000001,No
ITEM00210,Groceries,East,2023-01-02,421,201,389,No,Yes,0.82,7,823.14,406.99,109.46,Flagged,306.69,No
ITEM00211,Home Appliances,South,2023-04-25,288,175,317,No,Yes,0.42,2,189.09,282.85,283.23,Resolved,-376.99,No
